Player,Team,Season,PPG,RPG,APG,WS
Carlos Arroyo,ORL,06/07,7.7,1.9,2.8,2.5
Tyronn Lue,ATL,06/07,11.4,1.9,3.6,2.5
Bobby Jackson,NOK,06/07,10.6,3.2,2.5,2.5
Rajon Rondo,BOS,06/07,6.4,3.7,3.8,2.4
Walter Herrmann,CHA,06/07,9.2,2.9,0.5,2.4
Shaun Livingston,LAC,06/07,9.3,3.4,5.1,2.4
Damon Jones,CLE,06/07,6.6,1.1,1.6,2.4
Francisco García,SAC,06/07,6.0,2.6,1.1,2.4
Kevin Durant,OKC,13/14,32.0,7.4,5.5,19.2
LeBron James,MIA,13/14,27.1,6.9,6.3,15.9
Kevin Love,MIN,13/14,26.1,12.5,4.4,14.3
Stephen Curry,GSW,13/14,24.0,4.3,8.5,13.4
James Harden,HOU,13/14,25.4,4.7,6.1,12.8
Blake Griffin,LAC,13/14,24.1,9.5,3.9,12.2
Chris Paul,LAC,13/14,19.1,4.3,10.7,12.2
Kyle Lowry,TOR,13/14,17.9,4.7,7.4,11.7
Joakim Noah,CHI,13/14,12.6,11.2,5.4,11.2
DeAndre Jordan,LAC,13/14,10.4,13.6,0.9,11.1
Dirk Nowitzki,DAL,13/14,21.7,6.2,2.7,10.9
Paul George,IND,13/14,21.7,6.8,3.5,10.8
Carmelo Anthony,NYK,13/14,27.4,8.1,3.1,10.7
Anthony Davis,NOP,13/14,20.8,10.0,1.6,10.4
Goran Dragić,PHO,13/14,20.3,3.2,5.9,10.3
Andre Drummond,DET,13/14,13.5,13.2,0.4,9.9
Serge Ibaka,OKC,13/14,15.1,8.8,1.0,9.6
Damian Lillard,POR,13/14,20.7,3.5,5.6,9.6
Robin Lopez,POR,13/14,11.1,8.5,0.9,9.5
DeMar DeRozan,TOR,13/14,22.7,4.3,4.0,8.8
Mike Conley,MEM,13/14,17.2,2.9,6.0,8.2
Wesley Matthews,POR,13/14,16.4,3.5,2.4,8.2
David West,IND,13/14,14.0,6.8,2.8,8.1
Marcin Gortat,WAS,13/14,13.2,9.5,1.7,8.1
Dwight Howard,HOU,13/14,18.3,12.2,1.8,8.0
Chris Bosh,MIA,13/14,16.2,6.6,1.1,8.0
Trevor Ariza,WAS,13/14,14.4,6.2,2.5,8.0
DeMarcus Cousins,SAC,13/14,22.7,11.7,2.9,7.9
John Wall,WAS,13/14,19.3,4.1,8.8,7.9
Nicolas Batum,POR,13/14,13.0,7.5,5.1,7.9
George Hill,IND,13/14,10.3,3.7,3.5,7.8
Al Jefferson,CHA,13/14,21.8,10.8,2.1,7.8
Isaiah Thomas,SAC,13/14,20.3,2.9,6.3,7.7
Kawhi Leonard,SAS,13/14,12.8,6.2,2.0,7.7
David Lee,GSW,13/14,18.2,9.3,2.1,7.6
Chandler Parsons,HOU,13/14,16.6,5.5,4.0,7.6
LaMarcus Aldridge,POR,13/14,23.2,11.1,2.6,7.5
Lance Stephenson,IND,13/14,13.8,7.2,4.6,7.4
Tim Duncan,SAS,13/14,15.1,9.7,3.0,7.4
Terrence Jones,HOU,13/14,12.1,6.9,1.1,7.3
Jimmy Butler,CHI,13/14,13.1,4.9,2.6,7.1
Klay Thompson,GSW,13/14,18.4,3.1,2.2,6.7
Jonas Valančiūnas,TOR,13/14,11.3,8.8,0.7,6.7
Paul Millsap,ATL,13/14,17.9,8.5,3.1,6.7
Kyrie Irving,CLE,13/14,20.8,3.6,6.1,6.7
Kenneth Faried,DEN,13/14,13.7,8.6,1.2,6.5
Mike Dunleavy,CHI,13/14,11.3,4.2,2.3,6.5
Andrew Bogut,GSW,13/14,7.3,10.0,1.7,6.5
Josh McRoberts,CHA,13/14,8.5,4.8,4.3,6.5
Markieff Morris,PHO,13/14,13.8,6.0,1.8,6.4
Zach Randolph,MEM,13/14,17.4,10.1,2.5,6.4
Ty Lawson,DEN,13/14,17.6,3.5,8.8,6.3
José Calderón,DAL,13/14,11.4,2.4,4.7,6.3
Amir Johnson,TOR,13/14,10.4,6.6,1.5,6.3
D.J. Augustin,CHITOR,13/14,13.1,1.8,4.4,6.2
Gerald Green,PHO,13/14,15.8,3.4,1.5,6.1
P.J. Tucker,PHO,13/14,9.4,6.5,1.7,6.1
Chris Andersen,MIA,13/14,6.6,5.3,0.3,6.0
Kyle Korver,ATL,13/14,12.0,4.0,2.9,5.9
Greg Monroe,DET,13/14,15.2,9.3,2.1,5.9
Marco Belinelli,SAS,13/14,11.4,2.8,2.2,5.9
Ricky Rubio,MIN,13/14,9.5,4.2,8.6,5.9
Nikola Peković,MIN,13/14,17.5,8.7,0.9,5.9
Tony Parker,SAS,13/14,16.7,2.3,5.7,5.9
Darren Collison,LAC,13/14,11.4,2.4,3.7,5.9
DeMarre Carroll,ATL,13/14,11.1,5.5,1.8,5.8
Andre Iguodala,GSW,13/14,9.3,4.7,4.2,5.8
Tristan Thompson,CLE,13/14,11.7,9.2,0.9,5.7
Taj Gibson,CHI,13/14,13.0,6.8,1.1,5.7
Manu Ginóbili,SAS,13/14,12.3,3.0,4.3,5.7
Marc Gasol,MEM,13/14,14.6,7.2,3.6,5.6
Patty Mills,SAS,13/14,10.2,2.1,1.8,5.6
Dwyane Wade,MIA,13/14,19.0,4.5,4.7,5.5
Roy Hibbert,IND,13/14,10.8,6.6,1.1,5.4
Anderson Varejão,CLE,13/14,8.4,9.7,2.2,5.4
Deron Williams,BRK,13/14,14.3,2.6,6.1,5.4
Jamal Crawford,LAC,13/14,18.6,2.3,3.2,5.3
Kevin Martin,MIN,13/14,19.1,3.0,1.8,5.3
Arron Afflalo,ORL,13/14,18.2,3.6,3.4,5.3
Channing Frye,PHO,13/14,11.1,5.1,1.2,5.3
Russell Westbrook,OKC,13/14,21.8,5.7,6.9,5.2
Paul Pierce,BRK,13/14,13.5,4.6,2.4,5.2
Jeff Teague,ATL,13/14,16.5,2.6,6.7,5.2
Corey Brewer,MIN,13/14,12.3,2.6,1.7,5.2
Derrick Favors,UTA,13/14,13.3,8.7,1.2,5.1
Brandan Wright,DAL,13/14,9.1,4.2,0.5,5.1
Kemba Walker,CHA,13/14,17.7,4.2,6.1,5.1
Brandon Bass,BOS,13/14,11.1,5.7,1.1,5.1
Martell Webster,WAS,13/14,9.7,2.8,1.2,5.0
Boris Diaw,SAS,13/14,9.1,4.1,2.8,4.9
Samuel Dalembert,DAL,13/14,6.6,6.8,0.5,4.9
Tyson Chandler,NYK,13/14,8.7,9.6,1.1,4.9
Reggie Jackson,OKC,13/14,13.1,3.9,4.1,4.9
Monta Ellis,DAL,13/14,19.0,3.6,5.7,4.9
Joe Johnson,BRK,13/14,15.8,3.4,2.7,4.9
Mario Chalmers,MIA,13/14,9.8,2.9,4.9,4.8
Rudy Gay,SACTOR,13/14,20.0,6.0,2.9,4.8
Mason Plumlee,BRK,13/14,7.4,4.4,0.9,4.7
Courtney Lee,BOSMEM,13/14,9.6,2.4,1.5,4.7
Randy Foye,DEN,13/14,13.2,2.9,3.5,4.6
Timofey Mozgov,DEN,13/14,9.4,6.4,0.8,4.5
Luol Deng,CHICLE,13/14,16.0,5.7,2.9,4.5
Spencer Hawes,CLEPHI,13/14,13.2,8.2,3.0,4.5
Jodie Meeks,LAL,13/14,15.7,2.5,1.8,4.5
Draymond Green,GSW,13/14,6.2,5.0,1.9,4.5
Shaun Livingston,BRK,13/14,8.3,3.2,3.2,4.4
Jordan Hill,LAL,13/14,9.7,7.4,0.8,4.4
Jeremy Lin,HOU,13/14,12.5,2.6,4.1,4.4
Kyle Singler,DET,13/14,9.6,3.7,0.9,4.4
Nikola Vučević,ORL,13/14,14.2,11.0,1.8,4.4
Vince Carter,DAL,13/14,11.9,3.5,2.6,4.3
Ramon Sessions,CHAMIL,13/14,12.3,2.4,4.1,4.3
Tiago Splitter,SAS,13/14,8.2,6.2,1.5,4.3
Shawn Marion,DAL,13/14,10.4,6.5,1.6,4.3
Trevor Booker,WAS,13/14,6.8,5.3,0.9,4.3
Patrick Beverley,HOU,13/14,10.2,3.5,2.7,4.2
Terrence Ross,TOR,13/14,10.9,3.1,1.0,4.2
Danny Green,SAS,13/14,9.1,3.4,1.5,4.2
Marcus Morris,PHO,13/14,9.7,3.9,1.1,4.2
Tobias Harris,ORL,13/14,14.6,7.0,1.3,4.1
Eric Bledsoe,PHO,13/14,17.7,4.7,5.5,4.1
Kris Humphries,BOS,13/14,8.4,5.9,1.0,4.1
Ray Allen,MIA,13/14,9.6,2.8,2.0,4.1
Bradley Beal,WAS,13/14,17.1,3.7,3.3,4.0
Miles Plumlee,PHO,13/14,8.1,7.8,0.5,4.0
Mike Miller,MEM,13/14,7.1,2.5,1.6,3.9
Jared Sullinger,BOS,13/14,13.3,8.1,1.6,3.9
Brandon Jennings,DET,13/14,15.5,3.0,7.6,3.9
Patrick Patterson,SACTOR,13/14,8.5,5.3,1.2,3.8
Amar'e Stoudemire,NYK,13/14,11.9,4.9,0.5,3.8
Kirk Hinrich,CHI,13/14,9.1,2.6,3.9,3.8
J.R. Smith,NYK,13/14,14.5,4.0,3.0,3.7
Andray Blatche,BRK,13/14,11.2,5.3,1.5,3.7
Gordon Hayward,UTA,13/14,16.2,5.1,5.2,3.6
Gerald Henderson,CHA,13/14,14.0,4.0,2.6,3.6
Nick Collison,OKC,13/14,4.2,3.6,1.3,3.6
Greivis Vásquez,SACTOR,13/14,9.6,2.2,4.1,3.6
Elton Brand,ATL,13/14,5.7,4.9,1.0,3.6
Thaddeus Young,PHI,13/14,17.9,6.0,2.3,3.5
Kosta Koufos,MEM,13/14,6.4,5.2,0.5,3.5
Matt Barnes,LAC,13/14,9.9,4.6,2.0,3.5
Carlos Boozer,CHI,13/14,13.7,8.3,1.6,3.4
Pablo Prigioni,NYK,13/14,3.8,2.0,3.5,3.4
DeJuan Blair,DAL,13/14,6.4,4.7,0.9,3.4
Ian Mahinmi,IND,13/14,3.5,3.3,0.3,3.3
J.J. Hickson,DEN,13/14,11.8,9.2,1.4,3.3
Jeff Green,BOS,13/14,16.9,4.6,1.7,3.3
Jeremy Lamb,OKC,13/14,8.5,2.4,1.5,3.3
John Henson,MIL,13/14,11.1,7.1,1.6,3.3
C.J. Watson,IND,13/14,6.6,1.6,1.7,3.2
Bismack Biyombo,CHA,13/14,2.9,4.8,0.1,3.2
Harrison Barnes,GSW,13/14,9.5,4.0,1.5,3.2
Nenê,WAS,13/14,14.2,5.5,2.9,3.2
Alec Burks,UTA,13/14,14.0,3.3,2.7,3.2
Anthony Tolliver,CHA,13/14,6.1,2.6,0.7,3.2
Tim Hardaway Jr.,NYK,13/14,10.2,1.5,0.8,3.1
Michael Kidd-Gilchrist,CHA,13/14,7.2,5.2,0.8,3.1
Tyreke Evans,NOP,13/14,14.5,4.7,5.0,3.1
Derek Fisher,OKC,13/14,5.2,1.5,1.4,3.1
Al-Farouq Aminu,NOP,13/14,7.2,6.2,1.4,3.1
Wilson Chandler,DEN,13/14,13.6,4.7,1.8,3.1
Tyler Hansbrough,TOR,13/14,4.9,4.5,0.3,3.0
Thabo Sefolosha,OKC,13/14,6.3,3.6,1.5,3.0
JJ Redick,LAC,13/14,15.2,2.1,2.2,3.0
James Johnson,MEM,13/14,7.4,3.2,2.1,3.0
Pau Gasol,LAL,13/14,17.4,9.7,3.4,3.0
Marvin Williams,UTA,13/14,9.1,5.1,1.2,2.9
Kelly Olynyk,BOS,13/14,8.7,5.2,1.6,2.9
Dante Cunningham,MIN,13/14,6.3,4.1,1.0,2.9
Cory Joseph,SAS,13/14,5.0,1.6,1.7,2.9
Steven Adams,OKC,13/14,3.3,4.1,0.5,2.9
Jordan Crawford,BOSGSW,13/14,11.0,2.3,3.5,2.8
Jeremy Evans,UTA,13/14,6.1,4.7,0.7,2.8
Al Horford,ATL,13/14,18.6,8.4,2.6,2.8
Jameer Nelson,ORL,13/14,12.1,3.4,7.0,2.8
Brandon Knight,MIL,13/14,17.9,3.5,4.9,2.8
Maurice Harkless,ORL,13/14,7.4,3.3,1.0,2.8
Mirza Teletović,BRK,13/14,8.6,3.7,0.8,2.7
Khris Middleton,MIL,13/14,12.1,3.8,2.1,2.7
Jermaine O'Neal,GSW,13/14,7.9,5.5,0.6,2.7
Jeff Adrien,CHAMIL,13/14,6.8,5.8,0.7,2.7
Richard Jefferson,UTA,13/14,10.1,2.7,1.6,2.7
Tony Allen,MEM,13/14,9.0,3.8,1.7,2.7
Jason Thompson,SAC,13/14,7.1,6.4,0.6,2.7
Cody Zeller,CHA,13/14,6.0,4.3,1.1,2.6
Lou Williams,ATL,13/14,10.4,2.1,3.5,2.6
Tyler Zeller,CLE,13/14,5.7,4.0,0.5,2.6
Mike Scott,ATL,13/14,9.6,3.6,0.9,2.6
Ed Davis,MEM,13/14,5.7,4.1,0.4,2.6
Derrick Williams,MINSAC,13/14,8.0,4.1,0.7,2.6
Nick Young,LAL,13/14,17.9,2.6,1.5,2.5
Eric Gordon,NOP,13/14,15.4,2.6,3.2,2.5
C.J. Miles,CLE,13/14,9.9,2.0,1.0,2.5
Kyle O'Quinn,ORL,13/14,6.2,5.3,1.1,2.5
Luis Scola,IND,13/14,7.6,4.8,1.0,2.5
Ömer Aşık,HOU,13/14,5.8,7.9,0.5,2.4
Jared Dudley,LAC,13/14,6.9,2.2,1.4,2.4
Omri Casspi,HOU,13/14,6.9,3.7,1.2,2.4
Jerryd Bayless,BOSMEM,13/14,9.2,2.0,2.7,2.4
Jeff Ayres,SAS,13/14,3.3,3.5,0.8,2.4
James Harden,HOU,17/18,30.4,5.4,8.8,15.4
Karl-Anthony Towns,MIN,17/18,21.3,12.3,2.4,14.0
LeBron James,CLE,17/18,27.5,8.6,9.1,14.0
Anthony Davis,NOP,17/18,28.1,11.1,2.3,13.7
Damian Lillard,POR,17/18,26.9,4.5,6.6,12.6
Giannis Antetokounmpo,MIL,17/18,26.9,10.0,4.8,11.9
LaMarcus Aldridge,SAS,17/18,23.1,8.5,2.0,10.9
Nikola Jokić,DEN,17/18,18.5,10.7,6.1,10.7
Kevin Durant,GSW,17/18,26.4,6.8,5.4,10.4
Andre Drummond,DET,17/18,15.0,16.0,3.0,10.3
Clint Capela,HOU,17/18,13.9,10.8,0.9,10.2
Chris Paul,HOU,17/18,18.6,5.4,7.9,10.2
Kyle Lowry,TOR,17/18,16.2,5.6,6.9,10.2
Russell Westbrook,OKC,17/18,25.4,10.0,10.2,10.1
Steven Adams,OKC,17/18,13.9,9.0,1.2,9.7
DeMar DeRozan,TOR,17/18,23.0,3.9,5.2,9.6
DeAndre Jordan,LAC,17/18,12.0,15.2,1.5,9.4
Ben Simmons,PHI,17/18,15.8,8.1,8.2,9.2
Stephen Curry,GSW,17/18,26.4,5.1,6.1,9.1
Jimmy Butler,MIN,17/18,22.2,5.3,4.9,8.9
Kyrie Irving,BOS,17/18,24.4,3.8,5.1,8.9
Paul George,OKC,17/18,21.9,5.7,3.3,8.9
Kemba Walker,CHO,17/18,22.1,3.1,5.6,8.6
Victor Oladipo,IND,17/18,23.1,5.2,4.3,8.2
Otto Porter Jr.,WAS,17/18,14.7,6.4,2.0,8.1
Rudy Gobert,UTA,17/18,13.5,10.7,1.4,8.1
Derrick Favors,UTA,17/18,12.3,7.2,1.3,8.0
Al Horford,BOS,17/18,12.9,7.4,4.7,7.8
Darren Collison,IND,17/18,12.4,2.6,5.3,7.6
Joe Ingles,UTA,17/18,11.5,4.2,4.8,7.6
Jonas Valančiūnas,TOR,17/18,12.7,8.6,1.1,7.6
Enes Freedom,NYK,17/18,14.1,11.0,1.5,7.5
Taj Gibson,MIN,17/18,12.2,7.1,1.2,7.2
Jrue Holiday,NOP,17/18,19.0,4.5,6.0,7.1
Jayson Tatum,BOS,17/18,13.9,5.0,1.6,7.1
Bradley Beal,WAS,17/18,22.6,4.4,4.5,6.9
Khris Middleton,MIL,17/18,20.1,5.2,4.0,6.9
Dwight Howard,CHO,17/18,16.6,12.5,1.3,6.8
Lou Williams,LAC,17/18,22.6,2.5,5.3,6.7
Tobias Harris,DETLAC,17/18,18.6,5.5,2.4,6.7
Dwight Powell,DAL,17/18,8.5,5.6,1.2,6.6
JJ Redick,PHI,17/18,17.1,2.5,3.0,6.6
Julius Randle,LAL,17/18,16.1,8.0,2.6,6.6
Dario Šarić,PHI,17/18,14.6,6.7,2.6,6.6
CJ McCollum,POR,17/18,21.4,4.0,3.4,6.6
Kevin Love,CLE,17/18,17.6,9.3,1.7,6.4
Kyle Anderson,SAS,17/18,7.9,5.4,2.7,6.2
Will Barton,DEN,17/18,15.7,5.0,4.1,6.2
Joel Embiid,PHI,17/18,22.9,11.0,3.2,6.2
Robert Covington,PHI,17/18,12.6,5.4,2.0,6.1
Draymond Green,GSW,17/18,11.0,7.6,7.3,6.1
Pau Gasol,SAS,17/18,10.1,8.0,3.1,6.0
Larry Nance Jr.,CLELAL,17/18,8.7,6.8,1.2,5.8
Spencer Dinwiddie,BRK,17/18,12.6,3.2,6.6,5.7
Eric Bledsoe,MILPHO,17/18,17.7,3.8,5.0,5.6
Terry Rozier,BOS,17/18,11.2,4.7,2.9,5.6
Jakob Poeltl,TOR,17/18,6.9,4.8,0.7,5.6
Jamal Murray,DEN,17/18,16.7,3.7,3.4,5.5
Montrezl Harrell,LAC,17/18,11.0,4.0,1.0,5.5
Kelly Olynyk,MIA,17/18,11.5,5.7,2.7,5.5
Thaddeus Young,IND,17/18,11.8,6.3,1.9,5.5
Gary Harris,DEN,17/18,17.5,2.6,2.9,5.5
John Collins,ATL,17/18,10.5,7.3,1.3,5.4
Bojan Bogdanović,IND,17/18,14.3,3.4,1.5,5.4
Josh Richardson,MIA,17/18,12.9,3.5,2.9,5.4
Jerami Grant,OKC,17/18,8.4,3.9,0.7,5.4
Trevor Ariza,HOU,17/18,11.7,4.4,1.6,5.3
Anthony Tolliver,DET,17/18,8.9,3.1,1.1,5.3
Hassan Whiteside,MIA,17/18,14.0,11.4,1.0,5.3
Kentavious Caldwell-Pope,LAL,17/18,13.4,5.2,2.2,5.3
Goran Dragić,MIA,17/18,17.3,4.1,4.8,5.3
Ricky Rubio,UTA,17/18,13.1,4.6,5.3,5.3
Donovan Mitchell,UTA,17/18,20.5,3.7,3.7,5.2
Serge Ibaka,TOR,17/18,12.6,6.3,0.8,5.1
Ed Davis,POR,17/18,5.3,7.4,0.5,5.0
Marvin Williams,CHO,17/18,9.5,4.7,1.2,5.0
Tomáš Satoranský,WAS,17/18,7.2,3.2,3.9,5.0
James Johnson,MIA,17/18,10.8,4.9,3.8,5.0
Blake Griffin,DETLAC,17/18,21.4,7.4,5.8,4.9
Jeremy Lamb,CHO,17/18,12.9,4.0,2.3,4.9
John Henson,MIL,17/18,8.8,6.8,1.5,4.9
Klay Thompson,GSW,17/18,20.0,3.8,2.5,4.9
Marcin Gortat,WAS,17/18,8.4,7.6,1.8,4.9
Jeff Teague,MIN,17/18,14.2,3.0,7.0,4.9
Kyle O'Quinn,NYK,17/18,7.1,6.1,2.1,4.8
Dirk Nowitzki,DAL,17/18,12.0,5.7,1.6,4.8
Ryan Anderson,HOU,17/18,9.3,5.0,0.9,4.8
Domantas Sabonis,IND,17/18,11.6,7.7,2.0,4.7
Fred VanVleet,TOR,17/18,8.6,2.4,3.2,4.7
Eric Gordon,HOU,17/18,18.0,2.5,2.2,4.7
DeMarcus Cousins,NOP,17/18,25.2,12.9,5.4,4.7
Jusuf Nurkić,POR,17/18,14.3,9.0,1.8,4.7
Myles Turner,IND,17/18,12.7,6.4,1.3,4.7
Pascal Siakam,TOR,17/18,7.3,4.5,2.0,4.7
Delon Wright,TOR,17/18,8.0,2.9,2.9,4.5
Jaylen Brown,BOS,17/18,14.5,4.9,1.6,4.5
Alex Len,PHO,17/18,8.5,7.5,1.2,4.5
Wayne Ellington,MIA,17/18,11.2,2.8,1.0,4.5
E'Twaun Moore,NOP,17/18,12.5,2.9,2.3,4.4
Ish Smith,DET,17/18,10.9,2.7,4.4,4.4
Tyreke Evans,MEM,17/18,19.4,5.1,5.2,4.2
Jarrett Allen,BRK,17/18,8.2,5.4,0.7,4.2
Reggie Bullock,DET,17/18,11.3,2.5,1.5,4.2
Bam Adebayo,MIA,17/18,6.9,5.5,1.5,4.2
Al-Farouq Aminu,POR,17/18,9.3,7.6,1.2,4.2
Tyler Johnson,MIA,17/18,11.7,3.4,2.3,4.2
Rondae Hollis-Jefferson,BRK,17/18,13.9,6.8,2.5,4.1
DeMarre Carroll,BRK,17/18,13.5,6.6,2.0,4.1
Amir Johnson,PHI,17/18,4.6,4.5,1.6,4.1
Patty Mills,SAS,17/18,10.0,1.9,2.8,4.1
D.J. Augustin,ORL,17/18,10.2,2.1,3.8,4.1
Ersan İlyasova,ATLPHI,17/18,10.9,5.9,1.3,4.0
Marc Gasol,MEM,17/18,17.2,8.1,4.2,4.0
Joe Harris,BRK,17/18,10.8,3.3,1.6,4.0
Nikola Mirotić,CHINOP,17/18,15.6,7.4,1.5,4.0
Courtney Lee,NYK,17/18,12.0,2.9,2.4,3.9
Jeff Green,CLE,17/18,10.8,3.2,1.3,3.9
P.J. Tucker,HOU,17/18,6.1,5.6,0.9,3.9
Willie Cauley-Stein,SAC,17/18,12.8,7.0,2.4,3.9
Trey Lyles,DEN,17/18,9.9,4.8,1.2,3.9
Kosta Koufos,SAC,17/18,6.7,6.6,1.2,3.9
Harrison Barnes,DAL,17/18,18.9,6.1,2.0,3.8
Kyle Kuzma,LAL,17/18,16.1,6.3,1.8,3.8
T.J. McConnell,PHI,17/18,6.3,3.0,4.0,3.8
Brook Lopez,LAL,17/18,13.0,4.0,1.7,3.8
Marco Belinelli,ATLPHI,17/18,12.1,1.9,1.8,3.7
Kelly Oubre Jr.,WAS,17/18,11.8,4.5,1.2,3.7
Carmelo Anthony,OKC,17/18,16.2,5.8,1.3,3.7
Dewayne Dedmon,ATL,17/18,10.0,7.9,1.5,3.7
Frank Kaminsky,CHO,17/18,11.1,3.6,1.6,3.6
Mason Plumlee,DEN,17/18,7.1,5.4,1.9,3.6
Tyus Jones,MIN,17/18,5.1,1.6,2.8,3.6
Rajon Rondo,NOP,17/18,8.3,4.0,8.2,3.6
Nikola Vučević,ORL,17/18,16.5,9.2,3.4,3.6
David West,GSW,17/18,6.8,3.3,1.9,3.5
Nicolas Batum,CHO,17/18,11.6,4.8,5.5,3.5
Daniel Theis,BOS,17/18,5.3,4.3,0.9,3.5
Bobby Portis,CHI,17/18,13.2,6.8,1.7,3.5
T.J. Warren,PHO,17/18,19.6,5.1,1.3,3.4
Kyle Korver,CLE,17/18,9.2,2.3,1.2,3.4
Jonas Jerebko,UTA,17/18,5.8,3.3,0.6,3.4
Josh Hart,LAL,17/18,7.9,4.2,1.3,3.4
Greg Monroe,BOSMILPHO,17/18,10.3,6.9,2.2,3.4
Evan Fournier,ORL,17/18,17.8,3.2,2.9,3.3
Jerian Grant,CHI,17/18,8.4,2.3,4.6,3.3
Lauri Markkanen,CHI,17/18,15.2,7.5,1.2,3.3
Markieff Morris,WAS,17/18,11.5,5.6,1.9,3.3
Zaza Pachulia,GSW,17/18,5.4,4.7,1.6,3.3
J.J. Barea,DAL,17/18,11.6,2.9,6.3,3.3
Wilson Chandler,DEN,17/18,10.0,5.4,2.1,3.3
Michael Kidd-Gilchrist,CHO,17/18,9.2,4.1,1.0,3.3
Marcus Morris,BOS,17/18,13.6,5.4,1.3,3.2
Shabazz Napier,POR,17/18,8.7,2.3,2.0,3.2
Maurice Harkless,POR,17/18,6.5,2.7,0.9,3.2
George Hill,CLESAC,17/18,10.0,2.7,2.8,3.2
Allen Crabbe,BRK,17/18,13.2,4.3,1.6,3.2
Kristaps Porziņģis,NYK,17/18,22.7,6.6,1.2,3.2
Andre Iguodala,GSW,17/18,6.0,3.8,3.3,3.2
Dejounte Murray,SAS,17/18,8.1,5.7,2.9,3.2
Ekpe Udoh,UTA,17/18,2.6,2.4,0.8,3.2
Rudy Gay,SAS,17/18,11.5,5.1,1.3,3.1
Cory Joseph,IND,17/18,7.9,3.2,3.2,3.1
James Ennis III,DETMEM,17/18,7.1,3.1,1.0,3.1
Dāvis Bertāns,SAS,17/18,5.9,2.0,1.0,3.1
Yogi Ferrell,DAL,17/18,10.2,3.0,2.5,3.0
Jordan Clarkson,CLELAL,17/18,13.9,2.7,2.7,3.0
Darius Miller,NOP,17/18,7.8,2.0,1.4,3.0
OG Anunoby,TOR,17/18,5.9,2.5,0.7,3.0
Aron Baynes,BOS,17/18,6.0,5.4,1.1,3.0
Trevor Booker,BRKINDPHI,17/18,6.3,4.7,1.2,2.9
Bismack Biyombo,ORL,17/18,5.7,5.7,0.8,2.9
Jordan Bell,GSW,17/18,4.6,3.6,1.8,2.9
Gorgui Dieng,MIN,17/18,5.9,4.6,0.9,2.9
Tyler Zeller,BRKMIL,17/18,6.7,4.6,0.7,2.9
Danny Green,SAS,17/18,8.6,3.6,1.6,2.9
Bogdan Bogdanović,SAC,17/18,11.8,2.9,3.3,2.9
Aaron Gordon,ORL,17/18,17.6,7.9,2.3,2.9
C.J. Miles,TOR,17/18,10.0,2.2,0.8,2.9
Richaun Holmes,PHI,17/18,6.5,4.4,1.3,2.8
Maxi Kleber,DAL,17/18,5.4,3.2,0.7,2.8
Elfrid Payton,ORLPHO,17/18,12.7,4.3,6.2,2.8
Luc Mbah a Moute,HOU,17/18,7.5,3.0,0.9,2.8
Buddy Hield,SAC,17/18,13.5,3.8,1.9,2.8
Brandon Ingram,LAL,17/18,16.1,5.3,3.9,2.8
Nemanja Bjelica,MIN,17/18,6.8,4.1,1.3,2.8
Kevon Looney,GSW,17/18,4.0,3.3,0.6,2.8
Malcolm Brogdon,MIL,17/18,13.0,3.2,3.2,2.7
Rodney Hood,CLEUTA,17/18,14.7,2.8,1.6,2.7
Deyonta Davis,MEM,17/18,5.8,4.0,0.6,2.7
JaVale McGee,GSW,17/18,4.8,2.6,0.5,2.7
John Wall,WAS,17/18,19.4,3.7,9.6,2.7
Tyson Chandler,PHO,17/18,6.5,9.1,1.2,2.7
Salah Mejri,DAL,17/18,3.5,4.0,0.6,2.7
Tim Hardaway Jr.,NYK,17/18,17.5,3.9,2.7,2.6
Wesley Matthews,DAL,17/18,12.7,3.1,2.7,2.6
Thabo Sefolosha,UTA,17/18,8.2,4.2,0.9,2.6
Justise Winslow,MIA,17/18,7.8,5.4,2.2,2.6
Patrick Patterson,OKC,17/18,3.9,2.4,0.7,2.6
Jae Crowder,CLEUTA,17/18,9.7,3.4,1.2,2.6
Evan Turner,POR,17/18,8.2,3.1,2.2,2.6
LeBron James,MIA,11/12,27.1,7.9,6.2,14.5
Chris Paul,LAC,11/12,19.8,3.6,9.0,12.7
Kevin Durant,OKC,11/12,28.0,8.0,3.5,12.2
Kevin Love,MIN,11/12,26.0,13.3,2.0,10.0
Tyson Chandler,NYK,11/12,11.3,9.9,0.9,9.5
James Harden,OKC,11/12,16.8,4.1,3.7,9.3
Blake Griffin,LAC,11/12,20.7,10.9,3.2,9.2
Joakim Noah,CHI,11/12,10.2,9.8,2.5,9.0
Ryan Anderson,ORL,11/12,16.1,7.7,0.9,8.9
Pau Gasol,LAL,11/12,17.4,10.4,3.6,8.3
Marc Gasol,MEM,11/12,14.6,8.9,3.1,8.2
Andrew Bynum,LAL,11/12,18.7,11.8,1.4,8.0
Russell Westbrook,OKC,11/12,23.6,4.6,5.5,7.9
Paul Millsap,UTA,11/12,16.6,8.8,2.3,7.8
Dwight Howard,ORL,11/12,20.6,14.5,1.9,7.7
Dwyane Wade,MIA,11/12,22.1,4.8,4.6,7.7
Carlos Boozer,CHI,11/12,15.0,8.5,1.9,7.6
Marcin Gortat,PHO,11/12,15.4,10.0,0.9,7.6
Dirk Nowitzki,DAL,11/12,21.6,6.7,2.2,7.6
